m,p,t,c,a
0.0410273544153143,0.390918832113967,0.114612589260312,1,0
0.0411102983790756,0.381874405169427,0.120643438551822,1,0
0.0409541407877854,0.415784989095029,0.125947567233491,1,0
0.0393243424474359,0.398273360239392,0.115244450365468,1,0
0.0416134847374685,0.392234804589131,0.115768451252957,1,0
0.0384242649780609,0.416998012250067,0.125055298249768,1,0
0.0389267781017271,0.391592795884671,0.125557080930895,1,0
0.0408149619499711,0.402457078488118,0.119582981098338,1,0
0.0411298491050907,0.400630642410781,0.116360154392701,1,0
0.0383043854102943,0.395315819408547,0.121852412544925,1,0
0.0387338656632547,0.388170677775214,0.114658654441021,1,0
0.0393350080494595,0.38331607791706,0.12017754056202,1,0
0.0411022109189753,0.398951156985598,0.119580319293686,1,0
0.0414977091273816,0.419761154064792,0.114675634655761,1,0
0.0388956094247258,0.411698410784021,0.11434286867154,1,0
0.0407231282640454,0.419343161033637,0.120029194063265,1,0
0.0413167095102135,0.406920441780899,0.122997511124196,1,0
0.0400586724765245,0.410942703692732,0.124095745861618,1,0
0.0405163026563442,0.390090898086682,0.118994866955635,1,0
0.0417184381537033,0.412167497986769,0.119178485330795,1,0
0.0406944230227703,0.416816328285006,0.121924495492073,1,0
0.0409854138050395,0.408235883928143,0.119958159276205,1,0
0.0401081573119129,0.383260928573942,0.11647818623614,1,0
0.0380389726880093,0.408938577257715,0.125951365927504,1,0
0.0413336700183705,0.382351761115821,0.123190494811518,1,0
0.0383210020177731,0.408286459186667,0.117027765339496,1,0
0.0412611439959398,0.393049210781642,0.118566678892288,1,0
0.0397427053092699,0.391538129341195,0.116768140927373,1,0
0.0411037579704835,0.415972376865701,0.122739207886663,1,0
0.0413401903634867,0.410796515578191,0.124108807245097,1,0
0.0394414870794414,0.401335924292737,0.123386841111676,1,0
0.0395180642951011,0.397529926689375,0.11436483357089,1,0
0.0403154707029046,0.409340934179083,0.122043897925389,1,0
0.0396416864001462,0.419574376536873,0.114290215049114,1,0
0.0407157814043531,0.402170154736282,0.120743510061546,1,0
0.0387877035826437,0.395844979903737,0.121500042537342,1,0
0.0406809232603388,0.389912636558216,0.12442637452508,1,0
0.0412785182549367,0.408581276501503,0.119775335647856,1,0
0.0404409910860373,0.418537148132358,0.124169712539899,1,0
0.0388112874901063,0.39359333108007,0.121832932104664,1,0
0.0408637666606716,0.384504284066861,0.124672063925809,1,0
0.0413496293335013,0.387728290858269,0.117089739171373,1,0
0.0387564675323534,0.401791867283746,0.114362292738214,1,0
0.038927813811313,0.388700961863134,0.120034010680036,1,0
0.0387242503078164,0.401631889597328,0.116397230727348,1,0
0.0419419287835557,0.395708367037632,0.123414277437946,1,0
0.039941893793429,0.402111157110495,0.116602187121837,1,0
0.0407808682983082,0.415223456494004,0.114692691029566,1,0
0.0401816676237418,0.417428501550351,0.125639859378027,1,0
0.0381001096253957,0.417233856179653,0.119599154387178,1,0
0.0415790867070047,0.391871360410279,0.120607582393484,1,0
0.0401998366308975,0.407415800546473,0.123939119615516,1,0
0.0418679311479591,0.387780601609197,0.12549224024595,1,0
0.041797793760168,0.39623380393938,0.122316587898245,1,0
0.0389311777379144,0.386912699337191,0.116058383243321,1,0
0.038909309660095,0.408720571063581,0.119961941142414,1,0
0.0384337180181029,0.384079768886188,0.118218570882321,1,0
0.0418033658206996,0.39329309228498,0.125278888765874,1,0
0.0392772920139043,0.386452536864896,0.122027272350633,1,0
0.0413664023017218,0.408312703208516,0.125542528835508,1,0
0.040459153131358,0.385479259200249,0.12332532667568,1,0
0.0394352669269598,0.411493002602602,0.117597559606391,1,0
0.038708707411071,0.390385201914643,0.117737724409751,1,0
0.0419938959965723,0.397506855003484,0.12174797646234,1,0
0.0416496964245924,0.419603421485535,0.120796945485947,1,0
0.0408524923865553,0.380808563148146,0.123288566060292,1,0
0.0399177681666257,0.383143599848709,0.114800361450275,1,0
0.0393235062399753,0.392183480786031,0.121333633646858,1,0
0.0412336008219073,0.41665176140214,0.114702071289425,1,0
0.0414773591989805,0.397088157036269,0.118142121902416,1,0
0.0383448107496016,0.411258702713916,0.123016567935552,1,0
0.0384932997569432,0.387434369834453,0.116871826586843,1,0
0.0404663023753161,0.418221571852663,0.125412754897713,1,0
0.0386920703552501,0.393024583211675,0.124629145640256,1,0
0.0408533210460101,0.396038560499153,0.115537248437273,1,0
0.0409344402269028,0.400623071950602,0.124923535232822,1,0
0.0399624956740885,0.391349313750936,0.11771089024397,1,0
0.0415525690292143,0.389274136304089,0.121545379119816,1,0
0.0384477455956537,0.397677027079153,0.122395610544444,1,0
0.0408574115515009,0.404652010386665,0.119560261071377,1,0
0.0415299623215077,0.418634226140676,0.120772233528734,1,0
0.0400852868345304,0.386028181256603,0.117444320693007,1,0
