m,p,t,c,a
0.0418864125398341,0.40324495689803,0.12562063697204,1,13.87
0.0387545129174486,0.400790402362721,0.121690247035954,1,13.87
0.0405933192768307,0.39421751862185,0.124205160288497,1,13.87
0.040692320349843,0.390262903172535,0.115456059320495,1,13.87
0.0415517725323579,0.410127492633269,0.123624950220315,1,13.87
0.0383006903428649,0.386169187891508,0.116966929780728,1,13.87
0.0414126382525367,0.386287074211632,0.121399952204267,1,13.87
0.0387648792934225,0.410390030409096,0.121379981105915,1,13.87
0.0398185497874326,0.407283903992358,0.117375109458911,1,13.87
0.0417669204904057,0.402672133441899,0.122317387189262,1,13.87
0.0415964695147004,0.405939195840613,0.12579504977934,1,13.87
0.0400391474289103,0.405093937186244,0.123600010875999,1,13.87
0.0382193377275751,0.400765767746038,0.11561438562826,1,13.87
0.0407864835496137,0.385183340988683,0.123430194359849,1,13.87
0.0412624620788028,0.414677554498374,0.116362757443843,1,13.87
0.0419867190075448,0.381694973098403,0.115665876037553,1,13.87
0.0403320419118571,0.406844259474225,0.122678351821419,1,13.87
0.0405785210513246,0.381454773627042,0.11632622190402,1,13.87
0.0392327135033796,0.409962086072988,0.124224447856224,1,13.87
0.0403911127951519,0.408824090230573,0.120824565985386,1,13.87
0.0416425449056347,0.418024790283816,0.120195783537838,1,13.87
0.0411951807717612,0.387987574666111,0.115282086185396,1,13.87
0.0380888957631292,0.381502481747533,0.115384369459056,1,13.87
0.0395075969032125,0.389166252485446,0.118417678956443,1,13.87
0.041099118555331,0.393201224574161,0.117789361679142,1,13.87
0.0403398199337681,0.411110220970687,0.118314916651808,1,13.87
0.0402947564325147,0.399323783382591,0.119059523285449,1,13.87
0.0418902860287727,0.39032890563348,0.120805198795757,1,13.87
0.0392481184356786,0.380375904110296,0.12201752990443,1,13.87
0.0396852709058867,0.414343202109386,0.125375909900313,1,13.87
0.0388131729939594,0.387166779809656,0.117675529000095,1,13.87
0.040102410124179,0.413137690075209,0.115282517506487,1,13.87
0.0402673060742657,0.390437446276278,0.114027697325195,1,13.87
0.0412850803298271,0.415804616187219,0.125949694915275,1,13.87
0.0409313729537604,0.383384690717701,0.12160018281719,1,13.87
0.0413198595457403,0.402688857988958,0.117120520685917,1,13.87
0.0386768213360844,0.390970333807009,0.114058838331463,1,13.87
0.0381062062129232,0.414187961992395,0.11645870026996,1,13.87
0.0382244988352222,0.388940470894656,0.114543366213701,1,13.87
0.0407922255197208,0.416751515564846,0.124907071251986,1,13.87
0.0419987097814986,0.412030651030182,0.11787498399173,1,13.87
0.0409312938851352,0.398911468181928,0.11871106082598,1,13.87
0.0382298465964825,0.395381805541022,0.115702085044402,1,13.87
0.0407919789318484,0.416540460082728,0.118602547587487,1,13.87
0.0416283909305911,0.408080716514723,0.124747654642724,1,13.87
0.0417467678337297,0.419871465240479,0.118763309662823,1,13.87
0.0412918011917979,0.404894669200251,0.12240607581774,1,13.87
0.0400352672049629,0.411188531822395,0.114485829313954,1,13.87
0.0409281828844841,0.404631322739169,0.12306225653364,1,13.87
0.0388249964583077,0.406087448516367,0.125137439255769,1,13.87
0.0394017442524089,0.390807536239824,0.122935412557485,1,13.87
0.0414268814234965,0.416752772945747,0.11722810042998,1,13.87
0.0404719882067605,0.382862138917577,0.116260778819866,1,13.87
0.0392441832838365,0.396808160718423,0.115052865588739,1,13.87
0.0406705009994495,0.384612068545566,0.117787924670388,1,13.87
0.0415434781508452,0.3809103331771,0.124359426062896,1,13.87
0.0397344069169518,0.385415048066532,0.116587199978782,1,13.87
0.038348745043741,0.396015113013213,0.121081331610643,1,13.87
0.0407872498569795,0.403718772597068,0.119570279708715,1,13.87
