m,p,t,c,a
0.0814723686393179,0.571737581122686,0.0690480224440259,1,6.39363099297314
0.0632359246225409,0.329262121499823,0.0917747328300573,1,3.82817063443489
0.0957506835434298,0.589466560559783,0.0736419622516322,1,6.79414947232431
0.0957166948242946,0.445612694616852,0.17004207033332,1,0.993204370390507
0.0421761282626275,0.57472065755672,0.168831099433933,1,6.71644698475032
0.0655740699156587,0.310713503572257,0.177369395880317,1,6.53795273430285
0.0678735154857773,0.5273220391735,0.161469870218737,1,2.74558913673918
0.0655477890177557,0.351356006343469,0.155906913202941,1,0.222829924641945
0.027692298496089,0.313851417189346,0.0645697671853771,1,5.76420479829105
0.0694828622975817,0.395129844018258,0.192533307325753,1,0.241122563520361
0.0438744359656398,0.414467537127903,0.16482751822235,1,5.56639930795944
0.0186872604554379,0.446929318736469,0.116837930106635,1,4.52419107077885
0.0709364830858073,0.526406004594708,0.0914037615497868,1,4.75791873797572
0.0655098003973841,0.348783520558389,0.0678496522337565,1,3.488548363875
0.0959743958516081,0.40211571799984,0.137790162646967,1,1.56668357643796
0.0751267059305653,0.376528534637781,0.125893557749771,1,4.8935370585968
0.0890903252535798,0.587787427561633,0.13208232949457,1,0.970371099800754
0.0149294005559057,0.377252476237121,0.176107588397549,1,1.77997525280072
0.0814284826068816,0.373057490617497,0.189389543478084,1,2.44988636189366
0.0196595250431208,0.375325157392809,0.142406701421996,1,3.3130219423191
0.0351659507062997,0.549248588368887,0.137789613672909,1,3.84806525803798
0.091719366382981,0.385751705646112,0.163580034366608,1,5.27610365994947
0.0380445846975357,0.470346492217566,0.0613781434344595,1,0.37765083066625
0.0530797553008973,0.533750169030603,0.190101602634377,1,0.909343459316111
0.0568823660872193,0.440817192317462,0.0517853104251862,1,2.35985851079217
0.0162182308193243,0.538285362205172,0.0966822563067207,1,3.69973194854349
0.0165648729499781,0.480594582420491,0.0894456926810216,1,4.57855368933748
0.0689214503140008,0.524445477847113,0.117581239775375,1,0.586749645978528
0.0228976968716819,0.574001208450501,0.0728567028453835,1,5.78071884242683
0.0538342435260057,0.598840414988066,0.0617263293129776,1,3.09874788842812
0.0106652770180584,0.588569424256516,0.0506951336201101,1,5.42437325298052
0.0817303220653433,0.560608411609053,0.0626653768266366,1,2.79847854369228
0.0259870402850654,0.540020544067292,0.114712074119532,1,6.37453316100666
0.0181847028302853,0.379140874956597,0.0718308470577076,1,0.952479910960646
0.0869292207640089,0.473911376209671,0.13247903027545,1,1.01468358756609
0.0853031117721894,0.48661653944552,0.102642857133841,1,3.59274677906937
0.0401808033751942,0.322790007507253,0.0859874230330487,1,0.863232543846159
0.0183907788282417,0.371985757699471,0.112590060362655,1,0.347581012280195
0.0902716109915281,0.583436156916494,0.123629613870212,1,3.42476846880013
0.0337719409821377,0.570016153925299,0.105387017168032,1,0.778419287056512
0.0780252068321138,0.416921651088376,0.0862536928870749,1,2.8273850191168
0.00964545251683886,0.339591987781901,0.191307588616323,1,6.69294178160862
0.0575208595078466,0.317933862884147,0.085216987005861,1,2.4721099985545
0.0821194040197959,0.304621031295467,0.0564535702486712,1,1.18293020623893
0.0649115474956452,0.519516715697601,0.147161894470446,1,3.15646594501661
0.0547008892286345,0.388896241682332,0.161703921061123,1,1.32268510522781
0.0686775433365315,0.355053346721181,0.10527268947355,1,4.37932992510783
0.0780227435151377,0.324337730659736,0.18940789564531,1,5.42998875025882
0.0486791632403172,0.430757576574276,0.117017562414471,1,2.1444463041159
0.0508508655381127,0.453231469251633,0.172644156248339,1,5.56381991818417
0.0644318130193692,0.413582814798081,0.171737068742372,1,3.72977912159618
0.0350727103576883,0.581700468599966,0.181391421723948,1,3.85109440028896
0.0622475086001228,0.476113411359425,0.0811613439099543,1,2.10872431195643
0.0470923348517591,0.369146448063468,0.176646318904308,1,1.36335002696935
0.0225921780972399,0.351212414144358,0.084149644672483,1,3.04989078872729
0.0311102286650413,0.577013892630973,0.114531108699438,1,1.29371424086895
0.0904880968679893,0.593924513506826,0.115830495968915,1,0.777834564084191
0.0258064695912067,0.422615953833766,0.139234411101292,1,1.83548223446592
0.0602843089382083,0.513364734130105,0.083262010102586,1,0.821923555990641
0.0296675873218327,0.395633490577765,0.113625013957071,1,3.55500799262783
0.0085515797090044,0.3787446704095,0.170152193415461,1,0.204541942935024
0.0928854139478045,0.519099258856636,0.123291346070537,1,4.04967542716407
0.0237283579771521,0.437654648453979,0.194463280893037,1,3.82764003117278
0.0521135830804001,0.369478316012557,0.123334661588025,1,4.36842061721583
0.0679135540865748,0.418654564700578,0.105115497281671,1,6.91587402213143
0.00377388662395521,0.565550402460743,0.186993024145886,1,5.57328711509648
0.00987122786555743,0.378561355161215,0.100303525994419,1,4.75809565964137
0.013655313735537,0.516368249574522,0.0660142792410862,1,4.57630144067992
0.049417393663927,0.533715516969383,0.157255561760104,1,6.32604392389421
0.0890922504330789,0.400248915821249,0.154811874850219,1,1.3846687868015
0.00305409463046367,0.523222278110239,0.12500336533853,1,3.35945498802242
0.0904722238067363,0.482959994526768,0.142649958438268,1,6.01609613952349
0.0805489424529686,0.473016454684406,0.0774383704122371,1,1.67952407398102
0.0886511933076101,0.308602245739232,0.123485208276834,1,1.1754900197758
0.0978680649641159,0.513808341503674,0.125070743623226,1,3.29761862179358
0.00596188675796392,0.504591571244719,0.0563646706251113,1,0.500118252204497
0.0521649842464284,0.32901900773426,0.172722283078944,1,5.722829644555
0.0722439592366842,0.34495963274339,0.148940787936246,1,3.63016459757377
0.0972974554763863,0.494697447813707,0.17004958630286,1,3.17658396108844
0.0432391503783462,0.547594138620614,0.0625204722288371,1,0.932197053250132
0.0173388613119006,0.417281340697121,0.17470696142586,1,5.62355074121708
0.00604711791698936,0.419777331184073,0.129031374576244,1,2.91759627551551
0.0656859890973707,0.488392007757031,0.0937976119942572,1,3.02155819174104
0.0015487125636019,0.595219117313746,0.0750752614871984,1,0.743514414500647
0.0372409740055537,0.359435520762892,0.123453145702404,1,2.3764538937353
0.0951630464777727,0.576099611950969,0.0579015496521189,1,5.16500666861898
0.0269119426398556,0.426850684502642,0.132180635182227,1,6.59915888993854
0.0417744104316662,0.594915739940957,0.0952182423068098,1,4.90769129130648
0.0666338851584426,0.461737939512857,0.154715828027046,1,4.66569539381811
0.0178132454400338,0.338404319916052,0.199862059214204,1,1.19784746449502
0.0032600820530528,0.468359937812898,0.182279975067771,1,4.68422713174076
0.0190433267179954,0.410674963819168,0.119108890589062,1,6.87146565679525
0.0156404952226563,0.556656841753773,0.146714680530513,1,2.63390547195182
0.0190923695236303,0.428475897893816,0.122303309154778,1,0.844281293080136
0.0589507484695059,0.367856303925803,0.107692868655412,1,4.08090467923372
0.0251806122472313,0.387132199283094,0.142563632658984,1,1.85696636867021
0.0824376266688835,0.594799019916585,0.15953731884014,1,2.40713902880488
0.0584069333278452,0.332330704573123,0.18594622259746,1,6.15757607137333
0.0817760559370642,0.378218399716639,0.13915343759965,1,0.157588149181622
0.0425259320214135,0.393815666046185,0.0742227116467625,1,1.25136330726658
0.0422885689100085,0.32826880166632,0.139778550313511,1,3.29646979450834
0.0695949313301608,0.509966354978487,0.145779613740776,1,0.235226852465006
0.00688060991180512,0.395879920554149,0.129629642104119,1,4.58111995429946
0.0407619197041153,0.545994366834582,0.157753841480883,1,6.78054531161766
0.0531333906565674,0.397543704546168,0.0658443804993533,1,4.2767106112234
0.0778802241824093,0.427035875688822,0.0636234928681159,1,1.86530043545351
0.0153656717591307,0.384301590760161,0.116012770850258,1,3.68999919232457
0.0457424365687674,0.562611479581255,0.127707816254166,1,6.60535837183872
0.0637709098072174,0.587308181952475,0.086106055322024,1,4.73285612704626
0.0289064571674477,0.501542449624265,0.154271074932761,1,0.475949379290074
